asset_name,asset_type,latitude,longitude,rainfall_mm,water_level_m,soil_type,building_age_years,floors,building_height_m,distance_to_river_km,construction_material,foundation_type,drainage_quality,soil_bearing_capacity_kpa,maintenance_score,occupancy_load,building_vulnerability_score,building_condition
Canal Bridge,Water Crossing,31.2362,75.7915,46.82,3.92,Loam,29.9,2,5.32,0.02,RCC,Pile Foundation,Moderate,100.87,34.42,314,61.4,Unsafe
Canal Bridge,Water Crossing,31.2362,75.7915,69.32,3.8,Loam,30.0,1,11.06,0.02,RCC,Isolated Footing,Good,149.33,65.48,378,44.1,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,38.86,3.13,Loam,25.3,1,10.35,1.02,RCC,Raft Foundation,Good,185.81,77.59,401,27.32,Minor Repair
Canal Bridge,Water Crossing,31.2362,75.7915,46.04,4.92,Loam,24.4,1,6.69,0.66,RCC,Strip Footing,Good,124.18,65.61,398,48.53,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,144.6,3.14,Loam,33.1,2,6.36,0.1,RCC,Raft Foundation,Good,111.86,51.77,420,50.17,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,93.0,3.65,Loam,34.3,1,6.89,0.33,Steel,Pile Foundation,Moderate,138.72,67.11,466,34.53,Minor Repair
Canal Bridge,Water Crossing,31.2362,75.7915,84.51,3.84,Loam,33.1,1,9.19,0.02,RCC,Raft Foundation,Moderate,120.04,58.19,405,46.11,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,84.86,3.41,Loam,39.6,2,6.37,0.02,Brick Masonry,Strip Footing,Poor,137.7,71.15,319,67.6,Unsafe
Canal Bridge,Water Crossing,31.2362,75.7915,85.85,4.46,Loam,36.2,1,4.0,0.34,RCC,Strip Footing,Moderate,114.18,38.47,314,59.26,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,136.55,6.33,Loam,49.9,4,11.79,0.02,Brick Masonry,Strip Footing,Poor,80.0,40.11,446,90.03,Unsafe
Canal Bridge,Water Crossing,31.2362,75.7915,59.22,4.83,Loam,23.6,1,8.57,0.02,RCC,Raft Foundation,Poor,160.52,60.27,369,51.01,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,86.63,3.98,Loam,29.4,1,4.0,0.1,RCC,Strip Footing,Good,99.63,59.94,468,55.51,Major Repair
Canal Bridge,Water Crossing,31.2362,75.7915,68.94,3.19,Loam,32.1,2,4.0,0.02,RCC,Raft Foundation,Moderate,133.03,64.37,446,44.95,Major Repair
