zone_name,season,month,latitude,longitude,rainfall_mm,temperature_deg_c,humidity_pct,river_discharge_m3_s,water_level_m,elevation_m,land_cover,soil_type,population_density,infrastructure,historical_floods,flood_occurred,distance_to_phagwara_km,infrastructure_risk_score,infrastructure_risk_label
City Centre,Monsoon,6,31.223962,75.770691,163.39,32.62,92.66,3023.57,4.34,241.04,Built-up,Loam,7058.53,1,1,1,0.011192807664224407,62.42,Medium
City Centre,Winter,1,31.224522,75.770583,33.31,17.68,62.18,1819.24,3.56,248.84,Built-up,Loam,6628.64,0,0,0,0.06160228034242005,28.23,Low
Railway Colony,Post-Monsoon,11,31.224732,75.771222,67.97,29.12,60.25,2266.24,3.51,244.43,Built-up,Silt Loam,7861.73,0,0,0,0.09074839135100672,32.76,Low
City Centre,Monsoon,9,31.22318,75.771359,204.31,34.02,78.13,3649.82,6.63,247.82,Built-up,Loam,7752.36,1,1,1,0.10554220762587285,72.6,Critical
City Centre,Monsoon,9,31.224824,75.771365,162.79,31.33,69.96,2903.24,5.56,251.62,Built-up,Loam,9425.99,0,0,1,0.10621390247539045,46.31,Medium
City Centre,Post-Monsoon,11,31.223047,75.770936,18.16,30.99,56.39,2240.75,1.97,244.25,Built-up,Loam,6503.8,0,0,0,0.10675493787976925,24.61,Low
Railway Colony,Pre-Monsoon,4,31.223445,75.771799,76.52,41.41,53.64,2497.93,3.53,253.56,Built-up,Silt Loam,7205.39,0,0,0,0.11327942903210107,32.93,Low
Railway Colony,Monsoon,7,31.224598,75.771774,189.14,33.42,76.55,3432.93,5.44,249.82,Built-up,Silt Loam,8336.92,0,0,1,0.11401380836247846,47.23,Medium
Railway Colony,Pre-Monsoon,5,31.225027,75.770717,93.97,33.73,53.63,2274.75,3.68,244.45,Built-up,Silt Loam,6780.86,0,0,0,0.11446958526824301,32.98,Low
City Centre,Monsoon,6,31.2228,75.770881,203.56,36.22,74.81,3389.64,6.48,248.52,Built-up,Loam,7355.5,1,1,1,0.1336560227986418,70.96,Critical
City Centre,Monsoon,7,31.22265,75.770585,215.17,32.85,72.82,3887.55,6.1,241.21,Built-up,Loam,6920.72,0,1,1,0.1514989049088135,63.35,Medium
City Centre,Winter,3,31.223408,75.77255,20.92,16.16,61.09,2329.95,3.92,245.82,Built-up,Loam,8838.29,1,0,0,0.17895174770404249,40.93,Medium
City Centre,Monsoon,9,31.225707,75.770704,192.41,31.47,76.46,3462.55,5.56,249.33,Built-up,Loam,8305.44,1,1,1,0.19002911467966385,69.71,Medium
City Centre,Winter,2,31.225794,75.771449,25.36,14.7,56.59,1936.93,3.52,253.02,Built-up,Loam,6701.58,1,0,0,0.20881106478337827,36.15,Low
Railway Colony,Monsoon,8,31.225804,75.770128,197.86,33.83,72.84,3801.01,5.5,248.62,Built-up,Silt Loam,5803.22,0,0,1,0.21052704826131066,45.24,Medium
Railway Colony,Monsoon,6,31.222881,75.772678,208.46,34.4,79.53,3352.29,6.41,243.95,Built-up,Silt Loam,7282.62,1,0,1,0.21765024969260496,56.83,Medium
City Centre,Monsoon,6,31.225845,75.770029,182.04,32.3,87.7,3202.05,5.98,244.68,Built-up,Loam,7364.01,1,0,1,0.21786027237294037,54.19,Medium
Railway Colony,Monsoon,6,31.225364,75.772476,147.6,31.73,68.11,2859.29,5.67,239.32,Built-up,Silt Loam,6068.33,1,0,1,0.22000317719227588,49.0,Medium
Railway Colony,Post-Monsoon,11,31.224103,75.768423,63.69,31.29,60.86,2339.57,3.83,245.68,Built-up,Silt Loam,6554.97,0,1,1,0.22631411181927405,45.68,Medium
City Centre,Monsoon,9,31.221956,75.770343,137.61,33.89,83.18,2980.95,4.44,246.92,Built-up,Loam,8902.28,1,1,1,0.2313994399790508,63.84,Medium
City Centre,Post-Monsoon,11,31.222143,75.771978,23.69,33.53,74.49,1966.45,2.96,252.12,Built-up,Loam,6880.42,1,0,0,0.23491490712967192,35.05,Low
Railway Colony,Winter,3,31.223448,75.773217,7.93,16.46,58.19,1988.15,3.2,245.46,Built-up,Silt Loam,7830.1,0,1,1,0.23788351436515492,42.23,Medium
Railway Colony,Pre-Monsoon,4,31.226075,75.770074,20.61,40.48,46.81,2239.63,2.94,246.72,Built-up,Silt Loam,7666.32,1,0,0,0.24083534965200162,36.68,Low
Railway Colony,Pre-Monsoon,5,31.221756,75.771468,127.86,35.97,40.13,2520.24,5.06,247.74,Built-up,Silt Loam,6966.47,1,1,1,0.2574794573457192,60.9,Medium
Railway Colony,Monsoon,8,31.22542,75.768617,194.73,28.42,64.67,3329.87,6.02,250.23,Built-up,Silt Loam,7921.37,0,0,1,0.26080458522274197,48.04,Medium
City Centre,Winter,3,31.226178,75.769692,40.76,21.63,66.99,2333.86,3.01,248.83,Built-up,Loam,8073.66,0,0,0,0.26410668752410843,30.68,Low
City Centre,Monsoon,6,31.225625,75.772998,230.38,31.01,88.6,3438.96,6.49,243.67,Built-up,Loam,7379.63,1,1,1,0.27628104891017113,72.49,Critical
Railway Colony,Monsoon,7,31.22187,75.769283,218.49,30.21,80.83,3663.86,6.45,244.62,Built-up,Silt Loam,5847.6,1,0,1,0.2773152650711176,56.25,Medium
City Centre,Pre-Monsoon,4,31.221735,75.769561,26.61,43.06,56.52,1989.05,3.44,242.07,Built-up,Loam,8368.64,1,1,0,0.2780506939953994,52.5,Medium
